ID	Gender	Age	Race	What is the person doing	Group	Number of people in the group	Where was the person sleeping/ observed?	Street Name	Area	X               GPS Co ordinate	Y                  GPS Co ordinate
P946	Male	36-45	Coloured	Skarelling	No	1	Bush	Nova Constantia Road	Nova Constantia	18,42713886	-34,04126707
P947	Male	36-45	Coloured	Skarelling	No	1	Bush	Nova Constantia Road	Nova Constantia	18,42713886	-34,04126707
P944	Male	26-35	Coloured	Strolling	No	1	Bush	Nova Constantia Road	Nova Constantia	18,42713886	-34,04126707
P9417	Male	36-45	Black African	Skarelling	No	1	Pavement	Wingerd Road	Nova Constantia	18,42898003	-34,0427445
P9418	Male	26-35	Coloured	Skarelling	No	1	Pavement	Wingerd Road	Nova Constantia	18,42898003	-34,0427445
P9419	Male	36-45	Coloured	Sleeping	No	1	Pavement	Dressage Cr	Nova Constantia	18,43146191	-34,04328789
P9420	Male	26-35	Coloured	Sleeping	No	1	Pavement	Dressage Cr	Nova Constantia	18,43146191	-34,04328789
P9415	Male	36-45	Black African	Skarelling	No	1	Bush	Spean Schemat River Road	Nova Constantia	18,43156618	-34,04145278
P9416	Female	26-35	Black African	Skarelling	No	1	Bush	Spean Schemat River Road	Nova Constantia	18,43156618	-34,04145278
P949	Male	36-45	White	Skarelling	No	1	Pavement	Welbeloond Ave	Nova Constantia	18,43188494	-34,04005706
P9410	Male	36-45	Black African	Strolling	No	1	Pavement	Welbeloond Ave	Nova Constantia	18,43188494	-34,04005706
P9411	Male	36-45	Coloured	Skarelling	No	1	Pavement	Summit Way	Nova Constantia	18,43191266	-34,03666066
P9512	Male	26-35	Coloured	Sleeping	Yes	2	Pavement	Figrove Way	Fir Grove	18,43710792	-34,04717809
P961	Male	26-35	Coloured	Sleeping	Yes	2	Pavement	Figrove Way	Fir Grove	18,43710792	-34,04717809
P962	Male	46-55	Coloured	Sleeping	Yes	2	Bush	Figrove Way	Fir Grove	18,43710792	-34,04717809
P963	Female	36-45	Coloured	Sleeping	Yes	2	Bush	Figrove Way	Fir Grove	18,43710792	-34,04717809
P964	Male	36-45	Coloured	Sleeping	Yes	2	Bush	Homestead Ave	Belle Constantia	18,43710792	-34,04717809
P965	Female	26-35	Coloured	Sleeping	Yes	2	Bush	Homestead Ave	Belle Constantia	18,43710792	-34,04717809
P983	Male	26-35	Coloured	Sleeping	No	1	Pavement	Figrove Way	Tokai	18,43710792	-34,04717809
P9423	Male	36-45	Coloured	Strolling	No	1	Pavement	Figrove Way	Fir Grove	18,43710792	-34,04717809
P9424	Male	26-35	Coloured	Strolling	No	1	Pavement	Figrove Way	Fir Grove	18,43710792	-34,04717809
P9623	Male	36-45	Coloured	Sitting	No	1	Parking Lot	Lasswade Road	Airlie	18,43842814	-34,03507333
P9618	Male	36-45	Coloured	Sitting	No	1	Pavement	Strawberry Road	Airlie	18,43965912	-34,04029593
P9622	Male	26-35	Coloured	Sitting	Yes	2	Pavement	Strawberry Road	Airlie	18,43965912	-34,04029593
P9619	Male	26-35	Coloured	Skarelling	No	1	Pavement	Strawberry Road	Airlie	18,43965912	-34,04029593
P9620	Male	36-45	Coloured	Skarelling	No	1	Pavement	Strawberry Road	Airlie	18,43965912	-34,04029593
P9621	Male	36-45	Coloured	Strolling	No	1	Pavement	Strawberry Road	Airlie	18,43965912	-34,04029593
P9421	Male	26-35	Coloured	Sitting	No	1	Pavement	Wegelee Road	Fir Grove	18,43966731	-34,04478297
P9422	Female	26-35	White	Strolling	No	1	Pavement	Wegelee Road	Fir Grove	18,43966731	-34,04478297
P1416	Male	46-55	Coloured	Strolling	No	1	Pavement	Steenberg	Kirstenhof	18,4441555	-34,07903827
P1417	Male	46-55	Coloured	Strolling	No	1	Pavement	Steenberg	Kirstenhof	18,4441555	-34,07903827
P1418	Male	36-45	Coloured	Strolling	No	1	Pavement	Steenberg	Kirstenhof	18,4441555	-34,07903827
P1419	Female	26-35	Coloured	Strolling	No	1	Pavement	Steenberg	Kirstenhof	18,4441555	-34,07903827
P1420	Male	36-45	Coloured	Strolling	No	1	Pavement	Steenberg	Kirstenhof	18,4441555	-34,07903827
P1421	Male	46-55	Coloured	Strolling	No	1	Pavement	Steenberg	Kirstenhof	18,4441555	-34,07903827
P1422	Male	46-55	Coloured	Strolling	No	1	Pavement	Steenberg	Kirstenhof	18,4441555	-34,07903827
P1423	Male	36-45	Black African	Strolling	No	1	Pavement	Steenberg	Kirstenhof	18,4441555	-34,07903827
P1424	Male	36-45	Coloured	Strolling	No	1	Pavement	Steenberg	Kirstenhof	18,4441555	-34,07903827
P151	Male	36-45	Coloured	Strolling	No	1	Pavement	Steenberg	Kirstenhof	18,4441555	-34,07903827
P997	Female	<18	Coloured	Sleeping	No	1	Park	Station Road	Retreat	18,46190948	-34,06005965
P9910	Female	36-45	Coloured	Sleeping	No	1	Pavement	Station Road	Retreat	18,46190948	-34,06005965
P998	Male	36-45	Coloured	Strolling	No	1	Pavement	Station Road	Retreat	18,46190948	-34,06005965
P999	Male	46-55	Coloured	Strolling	No	1	Pavement	Station Road	Retreat	18,46190948	-34,06005965
P111	Male	26-35	Coloured	Strolling	No	1	Train Station	Retreat Station	Retreat Industrial Area	18,46199521	-34,06033303
P112	Male	36-45	Coloured	Strolling	No	1	Train Station	Retreat Station	Retreat Industrial Area	18,46199521	-34,06033303
P113	Female	36-45	Coloured	Strolling	No	1	Train Station	Retreat Station	Retreat Industrial Area	18,46199521	-34,06033303
P113	Male	36-45	Coloured	Strolling	No	1	Train Station	Retreat Station	Retreat Industrial Area	18,46199521	-34,06033303
P114	Male	36-45	Coloured	Strolling	No	1	Train Station	Retreat Station	Retreat Industrial Area	18,46199521	-34,06033303
P115	Female	36-45	Coloured	Strolling	No	1	Train Station	Retreat Station	Retreat Industrial Area	18,46199521	-34,06033303
P116	Male	26-35	Coloured	Strolling	No	1	Train Station	Retreat Station	Retreat Industrial Area	18,46199521	-34,06033303
P117	Female	<18	Coloured	Strolling	No	1	Train Station	Retreat Station	Retreat Industrial Area	18,46199521	-34,06033303
P118	Male	26-35	Coloured	Strolling	No	1	Train Station	Retreat Station	Retreat Industrial Area	18,46199521	-34,06033303
P119	Male	26-35	Coloured	Strolling	No	1	Train Station	Retreat Station	Retreat Industrial Area	18,46199521	-34,06033303
P1110	Female	26-35	Coloured	Strolling	No	1	Train Station	Retreat Station	Retreat Industrial Area	18,46199521	-34,06033303
P1111	Female	26-35	Coloured	Strolling	No	1	Train Station	Retreat Station	Retreat Industrial Area	18,46199521	-34,06033303
P1112	Male	36-45	Coloured	Strolling	No	1	Train Station	Retreat Station	Retreat Industrial Area	18,46199521	-34,06033303
P9116	Female	<18	Black African	Skarelling	No	1	Pavement	Station Road	Retreat	18,46211255	-34,0596699
P9117	Male	46-55	Black African	Skarelling	No	1	Pavement	Station Road	Retreat	18,46211255	-34,0596699
P9118	Female	26-35	Black African	Skarelling	No	1	Pavement	Station Road	Retreat	18,46211255	-34,0596699
P9119	Male	36-45	Black African	Skarelling	No	1	Pavement	Station Road	Retreat	18,46211255	-34,0596699
P969	Male	26-35	Coloured	Job Seeker	Yes	2	Pavement	Starkle Road	Belle Constantia	18,44753016	-34,04381308
P9610	Male	26-35	Coloured	Job Seeker	Yes	2	Pavement	Starkle Road	Belle Constantia	18,44753016	-34,04381308
P9611	Male	46-55	Coloured	Job Seeker	No	1	Pavement	Starkle Road	Belle Constantia	18,44753016	-34,04381308
P9613	Male	36-45	Coloured	Job Seeker	No	1	Pavement	Ladies Mile Road	Airlie	18,45126656	-34,04285813
P9616	Male	26-35	Coloured	Sitting	Yes	2	Pavement	Purcell Way	Airlie	18,44533224	-34,04136004
P9617	Male	36-45	Coloured	Sitting	Yes	2	Pavement	Purcell Way	Airlie	18,44533224	-34,04136004
P9615	Male	26-35	Coloured	Strolling	No	1	Pavement	Cambier Way	Airlie	18,44715214	-34,03751482
P968	Male	26-35	Coloured	Skarelling	No	1	Pavement	Elgin Road	Belle Constantia	18,44874675	-34,04388562
P966	Male	36-45	Coloured	Strolling	Yes	2	Pavement	Wesley Ave	Belle Constantia	18,45026591	-34,04377511
P967	Female	26-35	Coloured	Strolling	Yes	2	Pavement	Wesley Ave	Belle Constantia	18,45026591	-34,04377511
P9614	Female	18-25	Coloured	Sleeping	No	1	Pavement	Ladies Mile Road	Airlie	18,45126656	-34,04285813
P9612	Male	26-35	Coloured	Strolling	No	1	Taxi Rank	Ladies Mile Road	Airlie	18,45126656	-34,04285813
P9120	Male	26-35	Black African	Skarelling	Yes	3	Pavement	Main Road	Retreat	18,45984389	-34,06118966
P9121	Male	26-35	Black African	Skarelling	Yes	3	Pavement	Main Road	Retreat	18,45984389	-34,06118966
P9122	Male	46-55	Black African	Skarelling	Yes	3	Pavement	Main Road	Retreat	18,45984389	-34,06118966
P9824	Male	36-45	Coloured	Job Seeker	No	1	Pavement	Glenngie Ave	Tokai	18,44335939	-34,06483987
P9815	Male	26-35	Coloured	Sleeping	Yes	4	Park	Perth Road	Tokai	18,43495896	-34,06381885
P9816	Male	26-35	Coloured	Sleeping	Yes	4	Park	Perth Road	Tokai	18,43495896	-34,06381885
P9817	Female	18-25	Coloured	Sleeping	Yes	4	Park	Perth Road	Tokai	18,43495896	-34,06381885
P9818	Male	18-25	Coloured	Sleeping	Yes	4	Park	Perth Road	Tokai	18,43495896	-34,06381885
P984	Male	46-55	Coloured	Sleeping	Yes	4	Bush	Anderson Road	Tokai	18,43518111	-34,06112644
P985	Male	36-45	Coloured	Sleeping	Yes	4	Bush	Anderson Road	Tokai	18,43518111	-34,06112644
P986	Male	36-45	Coloured	Sleeping	Yes	4	Bush	Anderson Road	Tokai	18,43518111	-34,06112644
P987	Female	26-35	Coloured	Sleeping	Yes	4	Bush	Anderson Road	Tokai	18,43518111	-34,06112644
